Frame,q0,qx,qy,qz,X,Y,Z,err
62,0.747,-0.017,-0.037,0.664,40.106,32.240,-123.585,0.058
86,0.745,-0.017,-0.036,0.666,40.037,32.962,-123.906,0.056
110,0.748,-0.015,-0.034,0.662,40.032,33.448,-123.603,0.054
142,0.750,-0.016,-0.034,0.660,39.711,34.074,-123.267,0.059
166,0.746,-0.015,-0.032,0.665,39.456,34.736,-123.365,0.053
190,0.746,-0.017,-0.032,0.665,39.319,34.931,-124.378,0.055
206,0.750,-0.016,-0.034,0.660,39.387,34.607,-124.434,0.069
230,0.746,-0.018,-0.038,0.665,39.032,33.060,-125.028,0.065
254,0.727,-0.023,-0.037,0.686,38.391,31.201,-125.442,0.052
270,0.754,-0.006,-0.072,0.652,38.628,28.255,-125.744,0.204
294,0.699,0.019,-0.101,0.707,39.772,23.176,-127.431,0.098
318,0.729,-0.005,-0.109,0.676,33.908,23.136,-127.131,0.078
334,0.704,-0.005,-0.103,0.703,34.692,21.680,-125.527,0.037
358,0.709,-0.013,-0.086,0.699,35.419,19.344,-123.352,0.030
382,0.712,-0.005,-0.089,0.697,34.687,16.665,-121.049,0.039
398,0.705,-0.019,-0.083,0.704,34.204,15.416,-122.735,0.036
422,0.699,-0.023,-0.078,0.710,34.769,16.893,-120.414,0.032
446,0.700,-0.039,-0.112,0.704,31.660,16.398,-120.200,0.027
462,0.719,-0.042,-0.162,0.675,26.132,13.405,-120.953,0.048
486,0.705,-0.088,-0.220,0.668,20.948,12.990,-121.542,0.045
510,0.700,-0.111,-0.251,0.659,18.446,13.453,-121.052,0.057
526,0.699,-0.137,-0.256,0.653,17.256,14.494,-120.182,0.044
550,0.716,-0.127,-0.235,0.645,18.772,16.282,-117.701,0.045
574,0.713,-0.115,-0.206,0.660,20.863,19.349,-115.503,0.049
598,0.701,-0.114,-0.174,0.682,22.714,22.826,-115.180,0.049
614,0.711,-0.111,-0.157,0.676,23.960,25.001,-115.179,0.030
638,0.715,-0.104,-0.132,0.679,25.825,28.194,-116.062,0.034
662,0.718,-0.097,-0.116,0.679,27.291,31.152,-116.219,0.031
678,0.730,-0.099,-0.109,0.667,27.831,33.387,-117.470,0.045
702,0.713,-0.099,-0.088,0.688,29.644,36.624,-116.382,0.031
726,0.712,-0.100,-0.078,0.690,30.772,38.587,-115.384,0.039
742,0.706,-0.094,-0.072,0.698,31.682,38.566,-113.719,0.033
766,0.699,-0.090,-0.066,0.706,32.432,38.224,-111.981,0.036
790,0.697,-0.086,-0.062,0.709,33.060,38.205,-112.289,0.036
806,0.703,-0.086,-0.062,0.703,33.277,38.601,-113.137,0.046
830,0.707,-0.085,-0.060,0.700,34.101,39.245,-114.044,0.046
854,0.706,-0.087,-0.056,0.700,34.781,39.016,-114.831,0.051
870,0.709,-0.086,-0.057,0.698,35.190,38.398,-114.766,0.054
894,0.707,-0.088,-0.056,0.699,35.449,37.242,-115.330,0.059
918,0.707,-0.086,-0.057,0.700,36.023,36.680,-114.494,0.057
934,0.705,-0.089,-0.057,0.702,36.180,36.304,-114.831,0.052
958,0.703,-0.087,-0.054,0.704,36.559,35.437,-114.864,0.055
982,0.701,-0.086,-0.053,0.706,36.680,34.974,-115.191,0.054
1006,0.703,-0.088,-0.055,0.704,37.106,35.137,-116.030,0.057
1022,0.698,-0.087,-0.052,0.709,36.799,35.304,-117.305,0.043
1046,0.699,-0.088,-0.051,0.708,36.273,37.233,-119.419,0.049
1070,0.697,-0.091,-0.047,0.710,36.385,42.097,-121.362,0.036
1086,0.706,-0.093,-0.047,0.701,36.354,46.238,-122.114,0.058
