Format Version,1.25,Take Name,Take 2025-04-29 12.39.36 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-29 12.39.37.060 PM,Capture Start Frame,35987,Total Frames in Take,5690,Total Exported Frames,5690,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-97.880142,2.032043,-20.206343,1.881989,-72.157188,445.895264
1,0.008333,-97.890915,2.018876,-20.195185,1.845797,-72.156113,445.914459
2,0.016667,-97.873718,2.015158,-20.191032,1.832414,-72.149750,445.913177
3,0.025000,-97.879822,2.020949,-20.180323,1.842278,-72.153793,445.892700
4,0.033333,-97.898438,2.045473,-20.189051,1.880454,-72.166275,445.883606
5,0.041667,-97.893501,2.073977,-20.207457,1.937734,-72.167435,445.834900
6,0.050000,-97.917931,2.099054,-20.194405,2.001093,-72.177803,445.782990
7,0.058333,-97.924240,2.127539,-20.206429,2.057257,-72.186523,445.754791
8,0.066667,-97.922493,2.148281,-20.219513,2.108996,-72.192528,445.727600
9,0.075000,-97.938202,2.167633,-20.224159,2.145784,-72.201889,445.714050
10,0.083333,-97.933350,2.175481,-20.236134,2.166682,-72.203461,445.702332
11,0.091667,-97.939270,2.176286,-20.247683,2.177983,-72.207451,445.696838
12,0.100000,-97.946594,2.178233,-20.256329,2.188181,-72.214676,445.681122
13,0.108333,-97.956070,2.177914,-20.267010,2.203150,-72.218155,445.674835
14,0.116667,-97.962311,2.181710,-20.279110,2.216120,-72.222870,445.661804
15,0.125000,-97.965904,2.186984,-20.283739,2.227379,-72.226204,445.652130
