Format Version,1.25,Take Name,Take 2025-04-28 04.18.35 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-28 04.18.36.065 PM,Capture Start Frame,228436,Total Frames in Take,2247,Total Exported Frames,2247,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,131.516922,-4.634411,169.059677,8.901570,-27.881737,435.980804
1,0.008333,131.524216,-4.627662,169.042831,8.879544,-27.828051,435.998810
2,0.016667,131.521317,-4.623156,169.026505,8.858540,-27.778959,436.012604
3,0.025000,131.512039,-4.624856,169.008591,8.839962,-27.732290,436.034332
4,0.033333,131.504059,-4.625319,169.003342,8.830797,-27.684298,436.074951
5,0.041667,131.493103,-4.635561,169.000671,8.827500,-27.633018,436.126617
6,0.050000,131.469437,-4.641525,169.002991,8.834739,-27.572403,436.177460
7,0.058333,131.455521,-4.640169,169.007965,8.848022,-27.508144,436.241333
8,0.066667,131.450256,-4.643915,168.999176,8.871104,-27.441309,436.307434
9,0.075000,131.454453,-4.639985,168.979416,8.900681,-27.373625,436.373260
10,0.083333,131.436676,-4.623032,168.954559,8.937942,-27.301685,436.444153
11,0.091667,131.440552,-4.600460,168.931122,8.976166,-27.224297,436.510742
12,0.100000,131.434311,-4.583933,168.901718,9.022707,-27.134617,436.571991
13,0.108333,131.429443,-4.569558,168.878799,9.079436,-27.032612,436.646332
14,0.116667,131.421173,-4.557322,168.861847,9.130666,-26.927538,436.718811
15,0.125000,131.410599,-4.539951,168.856354,9.179092,-26.810284,436.792358
16,0.133333,131.420975,-4.530046,168.851990,9.220952,-26.692802,436.870056
