Format Version,1.25,Take Name,Take 2025-04-28 04.26.55 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-28 04.26.56.086 PM,Capture Start Frame,288444,Total Frames in Take,1575,Total Exported Frames,1575,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-31.054869,9.212179,-16.916786,-48.828728,-34.111160,450.094238
1,0.008333,-31.031111,9.206041,-16.920204,-48.728039,-33.951141,450.145111
2,0.016667,-30.988415,9.207728,-16.913462,-48.626099,-33.777905,450.226196
3,0.025000,-30.961081,9.226832,-16.903984,-48.514332,-33.604847,450.344452
4,0.033333,-30.921232,9.220787,-16.901415,-48.401978,-33.433662,450.445831
5,0.041667,-30.878769,9.192981,-16.898335,-48.284435,-33.261845,450.545929
6,0.050000,-30.847654,9.179382,-16.883989,-48.178066,-33.114529,450.668427
7,0.058333,-30.827618,9.163605,-16.867449,-48.072010,-32.974869,450.816589
8,0.066667,-30.847157,9.164862,-16.836037,-47.973015,-32.854370,451.023621
9,0.075000,-30.877321,9.162087,-16.813965,-47.877850,-32.749672,451.221619
10,0.083333,-30.917334,9.170001,-16.787704,-47.777924,-32.654137,451.434296
11,0.091667,-30.958199,9.174737,-16.758345,-47.671482,-32.558167,451.646515
12,0.100000,-31.037376,9.210233,-16.708305,-47.557899,-32.463367,451.897034
13,0.108333,-31.100140,9.214641,-16.676601,-47.431320,-32.364868,452.134735
14,0.116667,-31.145575,9.223105,-16.640942,-47.284184,-32.256161,452.353180
15,0.125000,-31.183050,9.237871,-16.607561,-47.114594,-32.137524,452.543091
