Format Version,1.25,Take Name,Take 2025-06-05 03.55.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-05 03.55.41.085 PM,Capture Start Frame,158944,Total Frames in Take,4364,Total Exported Frames,4364,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key2,key2,key2,key2,key2,key2,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs
,ID,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6
,Parent,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,7.414223,-12.782425,7.923929,8.527838,-57.026344,400.046509,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
1,0.008333,7.430050,-12.820601,7.886793,8.741112,-57.066868,400.129181,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
2,0.016667,7.486282,-12.836467,7.869743,8.957112,-57.079632,400.158386,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
3,0.025000,7.467736,-12.852961,7.825573,9.154318,-57.124607,400.208496,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
4,0.033333,7.455577,-12.854245,7.779475,9.345399,-57.176003,400.221008,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
5,0.041667,7.501948,-12.906844,7.741881,9.539372,-57.205952,400.226776,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
6,0.050000,7.566034,-12.917766,7.711231,9.724652,-57.225529,400.169220,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
7,0.058333,7.543454,-12.942270,7.675681,9.875997,-57.257423,400.164215,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
