Frame,q0,qx,qy,qz,X,Y,Z,err
10:39:06.647845,78,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.681174,86,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.711661,102,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.743949,110,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.779035,118,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.813994,134,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.845702,142,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.878962,150,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.912223,166,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.942035,174,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:06.978327,182,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:07.010404,198,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:07.043458,206,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:07.075625,214,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:07.114190,230,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:07.147622,238,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:07.180349,246,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:07.215802,262,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:07.281490,270,0.502,-0.169,0.310,0.789,94.863,-46.285,-324.135,0.420
10:39:07.349120,294,0.435,-0.187,0.349,0.808,97.493,-58.728,-313.525,0.588
10:39:07.412400,310,0.505,-0.230,0.310,0.772,89.883,-62.000,-313.925,0.262
10:39:07.483437,334,0.549,-0.254,0.282,0.744,78.473,-75.225,-306.856,0.554
10:39:07.551860,358,0.405,-0.289,0.339,0.798,69.834,-94.916,-310.035,0.409
10:39:07.610906,374,0.509,-0.368,0.174,0.759,51.557,-97.528,-304.356,0.710
10:39:07.684630,398,0.502,-0.271,0.190,0.799,49.219,-97.516,-299.704,0.257
10:39:07.753873,422,0.545,-0.332,0.212,0.740,48.091,-82.715,-313.585,0.456
10:39:07.818885,446,0.558,-0.298,0.149,0.760,41.168,-70.751,-308.167,0.587
10:39:07.889935,462,0.545,-0.305,0.239,0.744,45.347,-66.896,-321.172,0.506
10:39:07.956544,486,0.598,-0.310,0.202,0.711,38.096,-44.040,-319.551,0.430
10:39:08.023659,510,0.672,-0.328,0.187,0.637,33.036,-25.750,-317.682,0.325
10:39:08.091356,526,0.656,-0.349,0.253,0.620,38.289,-20.082,-329.344,0.254
10:39:08.158055,550,0.637,-0.289,0.175,0.693,26.213,-6.173,-299.128,0.299
10:39:08.220003,574,0.666,-0.358,0.293,0.585,47.792,28.881,-319.130,0.492
10:39:08.293408,590,0.633,-0.258,0.298,0.666,46.713,34.878,-300.380,0.305
10:39:08.359804,614,0.608,-0.184,0.217,0.742,40.535,32.948,-270.487,0.190
10:39:08.428577,638,0.547,-0.225,0.258,0.764,56.500,61.341,-272.761,0.280
10:39:08.492576,662,0.504,-0.202,0.103,0.833,60.623,59.728,-257.942,0.140
10:39:08.559136,678,0.552,-0.220,0.077,0.801,74.475,76.862,-265.918,0.227
10:39:08.627980,702,0.611,-0.216,0.162,0.744,113.737,120.885,-272.252,0.305
10:39:08.667065,726,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:08.708758,742,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:08.744655,750,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:08.782774,758,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:08.814023,774,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:08.847858,782,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:08.883287,790,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:08.913779,806,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:08.948491,814,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:08.983088,822,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.014718,838,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.047723,846,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.080720,862,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.114043,870,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.154290,878,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.187027,894,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.221081,902,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.255418,910,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.286613,926,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.317413,934,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.357737,942,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.390341,958,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.423980,966,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.459537,974,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.492233,990,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.523890,998,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.556586,1014,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.589064,1022,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.622465,1030,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.662249,1046,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.695864,1054,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.729247,1062,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.760216,1078,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.793181,1086,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.828321,1094,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:09.893893,1110,0.870,-0.098,-0.274,0.399,101.242,124.274,-233.404,0.157
10:39:09.964671,1126,0.805,-0.088,-0.369,0.455,98.000,114.615,-244.574,0.464
10:39:10.031607,1150,0.832,0.020,-0.423,0.358,81.432,90.174,-259.204,0.322
10:39:10.097943,1174,0.757,0.031,-0.480,0.442,68.659,76.909,-258.046,0.728
10:39:10.164596,1190,0.798,0.088,-0.507,0.312,58.170,52.437,-255.706,0.267
10:39:10.231219,1214,0.817,0.116,-0.473,0.308,47.204,43.420,-246.445,0.232
10:39:10.295502,1238,0.803,0.101,-0.491,0.323,40.046,26.623,-246.454,0.074
10:39:10.363017,1254,0.798,0.103,-0.495,0.329,35.176,15.926,-248.349,0.085
10:39:10.431072,1278,0.796,0.095,-0.467,0.372,30.630,-0.808,-243.753,0.048
10:39:10.501103,1302,0.782,0.014,-0.413,0.465,25.674,-12.556,-233.140,0.109
10:39:10.567763,1318,0.808,-0.043,-0.345,0.476,22.802,-14.964,-216.727,0.196
10:39:10.634702,1342,0.786,-0.095,-0.237,0.563,22.576,-7.920,-200.401,0.145
10:39:10.701944,1366,0.827,-0.041,-0.172,0.534,17.610,-5.815,-173.789,0.148
10:39:10.765985,1390,0.837,-0.055,-0.129,0.529,21.603,-8.384,-158.414,0.064
10:39:10.834669,1406,0.834,-0.040,-0.089,0.543,26.113,-5.148,-151.043,0.090
10:39:10.898887,1430,0.847,-0.019,-0.050,0.529,30.479,-2.954,-146.687,0.071
10:39:10.964385,1454,0.864,-0.011,-0.058,0.499,28.840,-1.412,-145.811,0.051
10:39:11.032901,1470,0.870,-0.016,-0.066,0.488,29.403,-0.641,-141.236,0.053
10:39:11.104983,1494,0.864,-0.010,-0.057,0.501,31.134,1.802,-134.022,0.045
10:39:11.172797,1518,0.862,-0.015,-0.049,0.504,32.625,2.593,-125.668,0.031
10:39:11.240198,1534,0.858,-0.015,-0.047,0.511,33.243,1.674,-120.656,0.039
10:39:11.302958,1558,0.863,-0.008,-0.043,0.504,33.286,-1.533,-113.161,0.037
10:39:11.369398,1582,0.865,0.006,-0.050,0.499,31.961,-6.384,-106.655,0.050
10:39:11.442223,1598,0.868,0.014,-0.053,0.494,31.423,-8.456,-102.655,0.046
10:39:11.507960,1622,0.859,0.005,-0.050,0.509,31.303,-9.780,-97.843,0.047
10:39:11.576878,1646,0.859,-0.002,-0.037,0.511,32.766,-10.087,-94.871,0.043
10:39:11.609864,1670,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:39:11.673454,1678,0.863,0.003,-0.034,0.504,33.237,-12.294,-93.419,0.042
10:39:11.743648,1702,0.865,0.003,-0.030,0.501,33.494,-11.583,-93.775,0.041
10:39:11.805137,1718,0.864,0.001,-0.030,0.503,33.953,-9.888,-94.102,0.038
10:39:11.871824,1742,0.864,-0.002,-0.028,0.502,34.584,-6.715,-95.237,0.036
